user_id_index,recommendations
471,"[Row(recipe_id_index=6332, rating=7.166190147399902), Row(recipe_id_index=10122, rating=5.4974236488342285), Row(recipe_id_index=4485, rating=4.955020904541016), Row(recipe_id_index=4674, rating=4.914212226867676), Row(recipe_id_index=5409, rating=4.914212226867676), Row(recipe_id_index=8826, rating=4.9110283851623535), Row(recipe_id_index=5076, rating=4.9014973640441895), Row(recipe_id_index=2352, rating=4.876737594604492), Row(recipe_id_index=2477, rating=4.876737594604492), Row(recipe_id_index=3280, rating=4.79469108581543)]"
1342,"[Row(recipe_id_index=6332, rating=7.063287258148193), Row(recipe_id_index=9168, rating=6.115237236022949), Row(recipe_id_index=10122, rating=6.0518083572387695), Row(recipe_id_index=5930, rating=5.957321643829346), Row(recipe_id_index=2248, rating=5.757205486297607), Row(recipe_id_index=2063, rating=5.757205486297607), Row(recipe_id_index=4814, rating=5.634731769561768), Row(recipe_id_index=3752, rating=5.590938091278076), Row(recipe_id_index=6880, rating=5.53760290145874), Row(recipe_id_index=6052, rating=5.53760290145874)]"
463,"[Row(recipe_id_index=6332, rating=7.003518104553223), Row(recipe_id_index=9168, rating=5.840799808502197), Row(recipe_id_index=2248, rating=5.508744239807129), Row(recipe_id_index=2063, rating=5.508744239807129), Row(recipe_id_index=1892, rating=5.338156223297119), Row(recipe_id_index=1895, rating=5.2616376876831055), Row(recipe_id_index=3621, rating=5.252013683319092), Row(recipe_id_index=5164, rating=5.250821590423584), Row(recipe_id_index=8015, rating=5.2160563468933105), Row(recipe_id_index=10122, rating=5.193462371826172)]"
833,"[Row(recipe_id_index=9168, rating=7.557515621185303), Row(recipe_id_index=5930, rating=7.540613174438477), Row(recipe_id_index=3752, rating=7.109242916107178), Row(recipe_id_index=2063, rating=6.869140148162842), Row(recipe_id_index=2248, rating=6.869140148162842), Row(recipe_id_index=5164, rating=6.569662094116211), Row(recipe_id_index=845, rating=6.383558750152588), Row(recipe_id_index=4814, rating=6.3595147132873535), Row(recipe_id_index=2512, rating=6.34591007232666), Row(recipe_id_index=3564, rating=6.326622009277344)]"
496,"[Row(recipe_id_index=9168, rating=5.490007400512695), Row(recipe_id_index=9962, rating=5.254932403564453), Row(recipe_id_index=7575, rating=5.050378322601318), Row(recipe_id_index=3042, rating=4.907434940338135), Row(recipe_id_index=3210, rating=4.833739757537842), Row(recipe_id_index=5930, rating=4.81707763671875), Row(recipe_id_index=10122, rating=4.803784370422363), Row(recipe_id_index=3621, rating=4.7553253173828125), Row(recipe_id_index=2952, rating=4.747258186340332), Row(recipe_id_index=3227, rating=4.724106311798096)]"
148,"[Row(recipe_id_index=5930, rating=5.707136154174805), Row(recipe_id_index=9168, rating=5.656566143035889), Row(recipe_id_index=3752, rating=5.361410140991211), Row(recipe_id_index=5164, rating=5.347711563110352), Row(recipe_id_index=6332, rating=5.144636631011963), Row(recipe_id_index=1892, rating=5.091096878051758), Row(recipe_id_index=6052, rating=5.051026344299316), Row(recipe_id_index=6880, rating=5.051026344299316), Row(recipe_id_index=845, rating=4.987997531890869), Row(recipe_id_index=10122, rating=4.9805145263671875)]"
1088,"[Row(recipe_id_index=9168, rating=5.989991664886475), Row(recipe_id_index=5930, rating=5.622888088226318), Row(recipe_id_index=6332, rating=5.605457782745361), Row(recipe_id_index=5164, rating=5.504225730895996), Row(recipe_id_index=2248, rating=5.457501411437988), Row(recipe_id_index=2063, rating=5.457501411437988), Row(recipe_id_index=4814, rating=5.370330810546875), Row(recipe_id_index=2512, rating=5.311280250549316), Row(recipe_id_index=5102, rating=5.2992072105407715), Row(recipe_id_index=3752, rating=5.265764236450195)]"
1238,"[Row(recipe_id_index=9168, rating=5.372735500335693), Row(recipe_id_index=6479, rating=5.054651737213135), Row(recipe_id_index=5930, rating=4.922618389129639), Row(recipe_id_index=1352, rating=4.896359443664551), Row(recipe_id_index=4667, rating=4.826171398162842), Row(recipe_id_index=2814, rating=4.800236225128174), Row(recipe_id_index=5164, rating=4.73517370223999), Row(recipe_id_index=3534, rating=4.734147071838379), Row(recipe_id_index=4805, rating=4.73318338394165), Row(recipe_id_index=1664, rating=4.685766220092773)]"
540,"[Row(recipe_id_index=6332, rating=5.367486953735352), Row(recipe_id_index=8826, rating=4.93949031829834), Row(recipe_id_index=1902, rating=4.883193492889404), Row(recipe_id_index=5164, rating=4.871917247772217), Row(recipe_id_index=4805, rating=4.845709800720215), Row(recipe_id_index=845, rating=4.840366363525391), Row(recipe_id_index=9354, rating=4.8354291915893555), Row(recipe_id_index=6902, rating=4.8354291915893555), Row(recipe_id_index=9222, rating=4.8354291915893555), Row(recipe_id_index=944, rating=4.736904621124268)]"
1460,"[Row(recipe_id_index=10122, rating=5.739535808563232), Row(recipe_id_index=6332, rating=5.407564163208008), Row(recipe_id_index=9168, rating=5.0942583084106445), Row(recipe_id_index=3121, rating=4.931245803833008), Row(recipe_id_index=5947, rating=4.869847774505615), Row(recipe_id_index=5834, rating=4.869847774505615), Row(recipe_id_index=1902, rating=4.839663028717041), Row(recipe_id_index=5431, rating=4.831589698791504), Row(recipe_id_index=4814, rating=4.73502779006958), Row(recipe_id_index=4574, rating=4.719875335693359)]"
392,"[Row(recipe_id_index=5164, rating=5.274222373962402), Row(recipe_id_index=3765, rating=5.125813007354736), Row(recipe_id_index=2276, rating=5.1065592765808105), Row(recipe_id_index=1664, rating=5.100579261779785), Row(recipe_id_index=9168, rating=5.09664249420166), Row(recipe_id_index=3421, rating=5.080477714538574), Row(recipe_id_index=845, rating=5.056413650512695), Row(recipe_id_index=1575, rating=5.0524773597717285), Row(recipe_id_index=3040, rating=5.044073104858398), Row(recipe_id_index=7948, rating=5.016931533813477)]"
1522,"[Row(recipe_id_index=9168, rating=7.516109466552734), Row(recipe_id_index=6479, rating=6.90647029876709), Row(recipe_id_index=5930, rating=6.633465766906738), Row(recipe_id_index=1352, rating=6.550218105316162), Row(recipe_id_index=5164, rating=6.4539079666137695), Row(recipe_id_index=2248, rating=6.395463943481445), Row(recipe_id_index=2063, rating=6.395463943481445), Row(recipe_id_index=3534, rating=6.2791242599487305), Row(recipe_id_index=1312, rating=6.244217872619629), Row(recipe_id_index=3752, rating=6.205344200134277)]"
243,"[Row(recipe_id_index=9168, rating=5.224016189575195), Row(recipe_id_index=4950, rating=5.067151069641113), Row(recipe_id_index=8977, rating=4.88375997543335), Row(recipe_id_index=1313, rating=4.841523170471191), Row(recipe_id_index=3042, rating=4.830704212188721), Row(recipe_id_index=1767, rating=4.785469055175781), Row(recipe_id_index=1575, rating=4.7731804847717285), Row(recipe_id_index=1746, rating=4.770871162414551), Row(recipe_id_index=1725, rating=4.745989799499512), Row(recipe_id_index=2679, rating=4.71476936340332)]"
623,"[Row(recipe_id_index=9168, rating=5.894008636474609), Row(recipe_id_index=5930, rating=5.589297771453857), Row(recipe_id_index=5164, rating=5.4661712646484375), Row(recipe_id_index=6332, rating=5.369887828826904), Row(recipe_id_index=5025, rating=5.317375659942627), Row(recipe_id_index=1892, rating=5.249416828155518), Row(recipe_id_index=8015, rating=5.243350028991699), Row(recipe_id_index=1575, rating=5.221462726593018), Row(recipe_id_index=3752, rating=5.219613075256348), Row(recipe_id_index=2679, rating=5.202744483947754)]"
1483,"[Row(recipe_id_index=3250, rating=4.838406085968018), Row(recipe_id_index=2329, rating=4.819827079772949), Row(recipe_id_index=4559, rating=4.767093658447266), Row(recipe_id_index=768, rating=4.75689697265625), Row(recipe_id_index=733, rating=4.737848281860352), Row(recipe_id_index=720, rating=4.737848281860352), Row(recipe_id_index=738, rating=4.737848281860352), Row(recipe_id_index=742, rating=4.737848281860352), Row(recipe_id_index=715, rating=4.737848281860352), Row(recipe_id_index=736, rating=4.737848281860352)]"
1084,"[Row(recipe_id_index=9168, rating=5.54404878616333), Row(recipe_id_index=8241, rating=5.193420886993408), Row(recipe_id_index=2679, rating=5.072957515716553), Row(recipe_id_index=4698, rating=5.016022205352783), Row(recipe_id_index=6479, rating=4.916359901428223), Row(recipe_id_index=1352, rating=4.825430870056152), Row(recipe_id_index=5930, rating=4.8057122230529785), Row(recipe_id_index=5164, rating=4.781988620758057), Row(recipe_id_index=2861, rating=4.781730651855469), Row(recipe_id_index=3621, rating=4.759408473968506)]"
1025,"[Row(recipe_id_index=9168, rating=5.9742841720581055), Row(recipe_id_index=5164, rating=5.458450794219971), Row(recipe_id_index=1352, rating=5.390591621398926), Row(recipe_id_index=6479, rating=5.3045334815979), Row(recipe_id_index=2922, rating=5.265909671783447), Row(recipe_id_index=3124, rating=5.222892761230469), Row(recipe_id_index=5930, rating=5.2129292488098145), Row(recipe_id_index=4703, rating=5.20489501953125), Row(recipe_id_index=1892, rating=5.198986053466797), Row(recipe_id_index=8015, rating=5.186834812164307)]"
1395,"[Row(recipe_id_index=6332, rating=5.690983772277832), Row(recipe_id_index=6479, rating=5.497661113739014), Row(recipe_id_index=1892, rating=5.219398498535156), Row(recipe_id_index=8826, rating=5.209455490112305), Row(recipe_id_index=1002, rating=5.146942615509033), Row(recipe_id_index=1041, rating=5.146942615509033), Row(recipe_id_index=1028, rating=5.146942615509033), Row(recipe_id_index=1097, rating=5.146942615509033), Row(recipe_id_index=2899, rating=5.138051986694336), Row(recipe_id_index=2063, rating=5.112107753753662)]"
737,"[Row(recipe_id_index=5930, rating=5.025992393493652), Row(recipe_id_index=9168, rating=5.002770900726318), Row(recipe_id_index=5445, rating=4.819719314575195), Row(recipe_id_index=5350, rating=4.819719314575195), Row(recipe_id_index=2512, rating=4.814614772796631), Row(recipe_id_index=2168, rating=4.800783634185791), Row(recipe_id_index=3752, rating=4.7664008140563965), Row(recipe_id_index=2771, rating=4.761735439300537), Row(recipe_id_index=6479, rating=4.607972145080566), Row(recipe_id_index=2248, rating=4.596543312072754)]"
897,"[Row(recipe_id_index=10122, rating=6.340786933898926), Row(recipe_id_index=9962, rating=6.023524761199951), Row(recipe_id_index=4604, rating=5.584596633911133), Row(recipe_id_index=3121, rating=5.536481857299805), Row(recipe_id_index=7575, rating=5.2180023193359375), Row(recipe_id_index=9168, rating=5.193047523498535), Row(recipe_id_index=3221, rating=5.027398109436035), Row(recipe_id_index=3042, rating=5.013238430023193), Row(recipe_id_index=4950, rating=4.9129815101623535), Row(recipe_id_index=9783, rating=4.84264612197876)]"
